Date sza RS Irradiacio
yyyy-mm-dd deg W/m2 J/m2
-- mitjana mitjana total
2009-01-01 72.28 228.33 6438942
2009-01-02 72.19 154.27 4350366
2009-01-03 72.11 276.84 7806966
2009-01-04 72.01 285.58 8053326
2009-01-05 71.91 294.76 8312202
2009-01-06 71.80 149.17 4206684
2009-01-07 71.68 258.73 7296324
2009-01-08 71.84 214.21 6169230
2009-01-09 71.71 130.50 3758496
2009-01-10 71.57 128.24 3693408
2009-01-11 71.71 283.52 8335584
2009-01-12 71.56 296.11 8705766
2009-01-13 71.41 236.61 6956214
2009-01-14 71.25 298.89 8787372
2009-01-15 71.08 288.72 8488260
2009-01-16 71.19 283.31 8499210
2009-01-17 71.02 260.37 7811082
2009-01-18 70.83 305.86 9175872
2009-01-19 70.65 131.76 3952692
2009-01-20 70.45 188.39 5651634
2009-01-21 70.25 252.23 7566936
2009-01-22 70.05 180.09 5402622
2009-01-23 69.83 174.11 5223366
2009-01-24 69.92 178.76 5470086
2009-01-25 69.99 277.61 8661522
2009-01-26 69.76 316.55 9876378
2009-01-27 69.53 345.50 10779678
2009-01-28 69.30 282.84 8824692
2009-01-29 69.06 340.01 10608198
2009-01-30 68.82 316.64 9879312
2009-01-31 68.87 282.80 8993148
2009-02-01 68.62 134.45 4275594
2009-02-02 68.37 211.52 6726252
2009-02-03 68.10 195.85 6227988
2009-02-04 68.15 403.32 13067694
2009-02-05 67.89 188.07 6093516
2009-02-06 67.61 180.74 5856048
2009-02-07 67.66 332.02 10956582
2009-02-08 67.38 375.07 12377148
2009-02-09 67.09 326.65 10779510
2009-02-10 66.81 321.56 10611462
2009-02-11 66.85 137.40 4616718
2009-02-12 66.56 400.09 13443150
2009-02-13 66.26 260.58 8755602
2009-02-14 66.30 406.14 13890090
2009-02-15 66.00 349.80 11963136
2009-02-16 65.69 370.98 12687624
2009-02-17 65.39 415.32 14203878
2009-02-18 65.42 372.85 12975222
2009-02-19 65.12 428.71 14919270
2009-02-20 64.80 433.09 15071364
